Preference Vector (1/5): 1.0, 0.0
12/100: weights=[0.41281238 1.5871876 ], train_loss=[0.7142383  0.48450515], train_acc=[0.76148333 0.81613333], test_loss=[0.70012134 0.54184985], test_acc=[0.7608  0.79925]
13/100: weights=[0.3028449 1.6971551], train_loss=[0.6350264  0.45480752], train_acc=[0.78955833 0.82985   ], test_loss=[0.6205752  0.51353216], test_acc=[0.79125 0.8095 ]
14/100: weights=[0.20096964 1.7990303 ], train_loss=[0.6710438  0.45776865], train_acc=[0.77715    0.82718333], test_loss=[0.65717006 0.520024  ], test_acc=[0.7783  0.80655]
15/100: weights=[0.42243338 1.5775666 ], train_loss=[0.63014376 0.42287976], train_acc=[0.79209167 0.8415    ], test_loss=[0.61931276 0.4895654 ], test_acc=[0.79165 0.82195]
16/100: weights=[0.02718083 1.9728192 ], train_loss=[0.59817106 0.42245418], train_acc=[0.801025   0.84045833], test_loss=[0.5866452  0.49453515], test_acc=[0.8022  0.82075]
17/100: weights=[0.5046414 1.4953585], train_loss=[0.58558655 0.41647214], train_acc=[0.80690833 0.84321667], test_loss=[0.57311106 0.49063554], test_acc=[0.8087  0.82065]
18/100: weights=[0.6369833 1.3630167], train_loss=[0.57975477 0.42171434], train_acc=[0.809  0.8418], test_loss=[0.5708085  0.49326882], test_acc=[0.8103 0.8211]
19/100: weights=[0.26269025 1.7373098 ], train_loss=[0.6371596 0.4143513], train_acc=[0.78840833 0.84449167], test_loss=[0.63011026 0.48420867], test_acc=[0.7876  0.82255]
20/100: weights=[0.59650165 1.4034983 ], train_loss=[0.61979836 0.4277772 ], train_acc=[0.79444167 0.83784167], test_loss=[0.6104609  0.49920973], test_acc=[0.7966 0.8177]
21/100: weights=[0.273743 1.726257], train_loss=[0.59945905 0.40369895], train_acc=[0.80086667 0.848425  ], test_loss=[0.5899879 0.4769286], test_acc=[0.8015  0.82645]
22/100: weights=[0.42831728 1.5716826 ], train_loss=[0.58741343 0.40587908], train_acc=[0.807125 0.848125], test_loss=[0.57872856 0.4833289 ], test_acc=[0.8097  0.82515]
23/100: weights=[0.19034408 1.8096559 ], train_loss=[0.7085674  0.41867688], train_acc=[0.762225 0.8413  ], test_loss=[0.7034411  0.48277515], test_acc=[0.76535 0.8229 ]
24/100: weights=[0.356324 1.643676], train_loss=[0.5871287 0.4025736], train_acc=[0.80564167 0.84880833], test_loss=[0.5810241  0.47700018], test_acc=[0.80675 0.8265 ]
25/100: weights=[0.1839131 1.8160869], train_loss=[0.5612262  0.40168098], train_acc=[0.81624167 0.84868333], test_loss=[0.55359  0.482299], test_acc=[0.81715 0.825  ]
26/100: weights=[0.40729183 1.5927082 ], train_loss=[0.57121944 0.4087336 ], train_acc=[0.81103333 0.84634167], test_loss=[0.56049937 0.49123162], test_acc=[0.81415 0.8211 ]
27/100: weights=[0.05182733 1.9481728 ], train_loss=[0.6360031  0.40191522], train_acc=[0.78761667 0.84929167], test_loss=[0.6241969  0.48146966], test_acc=[0.7913  0.82385]
